text,emotion
This homework is repetitive and uninteresting during class,Bored
I solved the whole problem set without help honestly,Confident
"This is fascinating, what happens if we change this variable today",Curious
How does this relate to what we learned last week right now,Curious
"Wait, how did we get this answer, I'm lost again",Confused
This assignment instructions are so unclear,Confused
I've tried this problem five times and still can't solve it during class,Frustrated
"Wait, why does this formula work like that right now",Curious
I'm just waiting for this class to end already during class,Bored
I can't believe I have three assignments due tomorrow,Frustrated
I want to know more about how this algorithm works honestly,Curious
I've got this assignment figured out completely seriously,Confident
None of this is making sense to me right now today,Confused
This assignment instructions are so unclear right now,Confused
I have no idea what the professor just said right now,Confused
Nothing about this topic holds my attention today seriously,Bored
I wonder how this concept applies to real projects seriously,Curious
I'd like to explore this idea further after class,Curious
This assignment instructions are so unclear during class,Confused
I keep getting a different answer than the textbook seriously,Confused
I keep getting a different answer than the textbook during class,Confused
I have no idea what the professor just said today,Confused
I want to know more about how this algorithm works,Curious
I understand this topic really well now today,Confident
I feel ready for the presentation tomorrow again,Confident
I've got this assignment figured out completely seriously,Confident
I'd like to explore this idea further after class again,Curious
I'd like to explore this idea further after class today,Curious
"That's interesting, can we go deeper into this topic today",Curious
None of this is making sense to me right now seriously,Confused
I know exactly how to approach this project today,Confident
I feel ready for the presentation tomorrow seriously,Confident
I've got this assignment figured out completely,Confident
I wonder how this concept applies to real projects,Curious
"Same review material again, I've heard this five times",Bored
"This lecture is so slow, I already know all of this again",Bored
This homework is repetitive and uninteresting seriously,Bored
I'm confident I answered all the quiz questions correctly,Confident
I solved the whole problem set without help right now,Confident
I'm stuck on this problem and don't know where to start,Confused
"This is fascinating, what happens if we change this variable right now",Curious
"That's interesting, can we go deeper into this topic seriously",Curious
"This is fascinating, what happens if we change this variable again",Curious
I can't believe I have three assignments due tomorrow right now,Frustrated
I understand this topic really well now during class,Confident
This professor's instructions never make sense honestly,Frustrated
"Wait, why does this formula work like that during class",Curious
I'd like to explore this idea further after class again,Curious
"This lecture is so slow, I already know all of this right now",Bored
I'm stuck on this problem and don't know where to start honestly,Confused
I solved the whole problem set without help honestly,Confident
"Can you explain that step again, it doesn't make sense today",Confused
I keep getting a different answer than the textbook right now,Confused
"This lecture is so slow, I already know all of this today",Bored
"This is fascinating, what happens if we change this variable seriously",Curious
I don't understand this formula at all,Confused
I solved the whole problem set without help right now,Confident
"I can't focus on this presentation, it's dragging on during class",Bored
"This makes total sense, I can explain it to others",Confident
I'm stuck on this problem and don't know where to start during class,Confused
I've got this assignment figured out completely during class,Confident
"I keep zoning out during this class, nothing is new seriously",Bored
This professor's instructions never make sense today,Frustrated
"This is fascinating, what happens if we change this variable again",Curious
"Wait, how did we get this answer, I'm lost",Confused
"This lecture is so slow, I already know all of this seriously",Bored
I've got this assignment figured out completely honestly,Confident
"This makes total sense, I can explain it to others",Confident
This homework is repetitive and uninteresting seriously,Bored
"Wait, how did we get this answer, I'm lost again",Confused
"This lecture is so slow, I already know all of this right now",Bored
I don't understand this formula at all,Confused
"Can you explain that step again, it doesn't make sense seriously",Confused
This professor's instructions never make sense today,Frustrated
"This makes total sense, I can explain it to others seriously",Confident
"This makes total sense, I can explain it to others again",Confident
"I'm so annoyed, the code keeps throwing the same error during class",Frustrated
This professor's instructions never make sense during class,Frustrated
None of this is making sense to me right now honestly,Confused
I wonder how this concept applies to real projects honestly,Curious
This assignment instructions are so unclear,Confused
I'm stuck on this problem and don't know where to start today,Confused
"That's interesting, can we go deeper into this topic honestly",Curious
I feel ready for the presentation tomorrow honestly,Confident
"Same review material again, I've heard this five times",Bored
"Wait, how did we get this answer, I'm lost right now",Confused
How does this relate to what we learned last week seriously,Curious
I keep getting a different answer than the textbook seriously,Confused
"This is fascinating, what happens if we change this variable right now",Curious
Nothing about this group project is going smoothly again,Frustrated
How does this relate to what we learned last week again,Curious
This textbook chapter is putting me to sleep,Bored
I've got this assignment figured out completely honestly,Confident
I've got this assignment figured out completely,Confident
I know exactly how to approach this project,Confident
"Wait, how did we get this answer, I'm lost honestly",Confused
I'm confident I answered all the quiz questions correctly during class,Confident
I'm just waiting for this class to end already right now,Bored
I wonder how this concept applies to real projects,Curious
This textbook chapter is putting me to sleep again,Bored
This assignment instructions are so unclear,Confused
"I can't focus on this presentation, it's dragging on during class",Bored
"I can't focus on this presentation, it's dragging on again",Bored
"I'm so annoyed, the code keeps throwing the same error today",Frustrated
I'd like to explore this idea further after class again,Curious
This textbook chapter is putting me to sleep,Bored
"Wait, how did we get this answer, I'm lost right now",Confused
I wonder how this concept applies to real projects seriously,Curious
I'm just waiting for this class to end already again,Bored
I can't believe I have three assignments due tomorrow again,Frustrated
I understand this topic really well now,Confident
I'm confident I answered all the quiz questions correctly right now,Confident
I solved the whole problem set without help again,Confident
I can't believe I have three assignments due tomorrow today,Frustrated
I'm confident I answered all the quiz questions correctly again,Confident
I've got this assignment figured out completely during class,Confident
I wonder how this concept applies to real projects right now,Curious
This professor's instructions never make sense honestly,Frustrated
None of this is making sense to me right now again,Confused
I keep getting a different answer than the textbook,Confused
I wonder how this concept applies to real projects,Curious
I've tried this problem five times and still can't solve it seriously,Frustrated
"I keep zoning out during this class, nothing is new again",Bored
I understand this topic really well now,Confident
I know exactly how to approach this project today,Confident
"Can you explain that step again, it doesn't make sense right now",Confused
"I can't focus on this presentation, it's dragging on during class",Bored
I've tried this problem five times and still can't solve it,Frustrated
I don't understand this formula at all again,Confused
I feel ready for the presentation tomorrow during class,Confident
"Wait, how did we get this answer, I'm lost seriously",Confused
"I can't focus on this presentation, it's dragging on during class",Bored
How does this relate to what we learned last week during class,Curious
This textbook chapter is putting me to sleep,Bored
"Can you explain that step again, it doesn't make sense today",Confused
Nothing about this group project is going smoothly honestly,Frustrated
This textbook chapter is putting me to sleep,Bored
"Wait, how did we get this answer, I'm lost during class",Confused
What would happen if we applied this to a different problem seriously,Curious
This professor's instructions never make sense today,Frustrated
I feel ready for the presentation tomorrow again,Confident
"This lecture is so slow, I already know all of this again",Bored
I'd like to explore this idea further after class honestly,Curious
I've tried this problem five times and still can't solve it right now,Frustrated
"Wait, how did we get this answer, I'm lost today",Confused
I'm confident I answered all the quiz questions correctly honestly,Confident
I'm sure I'll do well on this exam during class,Confident
"This is fascinating, what happens if we change this variable honestly",Curious
"Can you explain that step again, it doesn't make sense during class",Confused
I solved the whole problem set without help seriously,Confident
This assignment is taking forever and nothing works seriously,Frustrated
I feel ready for the presentation tomorrow again,Confident
I'm confident I answered all the quiz questions correctly seriously,Confident
"This is fascinating, what happens if we change this variable seriously",Curious
What would happen if we applied this to a different problem again,Curious
This assignment instructions are so unclear honestly,Confused
I keep getting a different answer than the textbook seriously,Confused
I solved the whole problem set without help,Confident
This textbook chapter is putting me to sleep today,Bored
I keep getting a different answer than the textbook seriously,Confused
This professor's instructions never make sense again,Frustrated
I have no idea what the professor just said right now,Confused
I've got this assignment figured out completely,Confident
I've got this assignment figured out completely today,Confident
"I can't focus on this presentation, it's dragging on again",Bored
I'm sick of redoing this same section over and over right now,Frustrated
I'm confident I answered all the quiz questions correctly honestly,Confident
Nothing about this topic holds my attention today honestly,Bored
This homework is repetitive and uninteresting again,Bored
This homework is repetitive and uninteresting honestly,Bored
I feel ready for the presentation tomorrow during class,Confident
"Can you explain that step again, it doesn't make sense seriously",Confused
This assignment instructions are so unclear again,Confused
I'm sick of redoing this same section over and over during class,Frustrated
I wonder how this concept applies to real projects today,Curious
This textbook chapter is putting me to sleep,Bored
This assignment is taking forever and nothing works seriously,Frustrated
"Can you explain that step again, it doesn't make sense during class",Confused
I know exactly how to approach this project seriously,Confident
"This lecture is so slow, I already know all of this right now",Bored
"This makes total sense, I can explain it to others during class",Confident
"That's interesting, can we go deeper into this topic today",Curious
I can't believe I have three assignments due tomorrow today,Frustrated
How does this relate to what we learned last week seriously,Curious
None of this is making sense to me right now during class,Confused
I can't believe I have three assignments due tomorrow during class,Frustrated
"Same review material again, I've heard this five times today",Bored
"This is fascinating, what happens if we change this variable during class",Curious
I have no idea what the professor just said today,Confused
I understand this topic really well now right now,Confident
I want to know more about how this algorithm works right now,Curious
I know exactly how to approach this project seriously,Confident
"Same review material again, I've heard this five times",Bored
None of this is making sense to me right now right now,Confused
"That's interesting, can we go deeper into this topic honestly",Curious
"This is fascinating, what happens if we change this variable today",Curious
"Can you explain that step again, it doesn't make sense seriously",Confused
Why does this keep failing no matter what I try seriously,Frustrated
How does this relate to what we learned last week again,Curious
This textbook chapter is putting me to sleep during class,Bored
Why does this keep failing no matter what I try,Frustrated
I know exactly how to approach this project,Confident
"I'm so annoyed, the code keeps throwing the same error",Frustrated
"I'm so annoyed, the code keeps throwing the same error seriously",Frustrated
I don't understand this formula at all,Confused
I can't believe I have three assignments due tomorrow honestly,Frustrated
"Can you explain that step again, it doesn't make sense during class",Confused
I wonder how this concept applies to real projects right now,Curious
"I'm so annoyed, the code keeps throwing the same error honestly",Frustrated
What would happen if we applied this to a different problem again,Curious
"This lecture is so slow, I already know all of this honestly",Bored
"This lecture is so slow, I already know all of this again",Bored
"This is fascinating, what happens if we change this variable seriously",Curious
I feel ready for the presentation tomorrow during class,Confident
"I'm so annoyed, the code keeps throwing the same error again",Frustrated
"I can't focus on this presentation, it's dragging on",Bored
"This is fascinating, what happens if we change this variable right now",Curious
"This lecture is so slow, I already know all of this during class",Bored
This textbook chapter is putting me to sleep again,Bored
This textbook chapter is putting me to sleep again,Bored
I'm sure I'll do well on this exam right now,Confident
I'm stuck on this problem and don't know where to start during class,Confused
Nothing about this topic holds my attention today during class,Bored
I'm confident I answered all the quiz questions correctly again,Confident
I'm confident I answered all the quiz questions correctly honestly,Confident
"That's interesting, can we go deeper into this topic right now",Curious
This assignment instructions are so unclear honestly,Confused
Why does this keep failing no matter what I try,Frustrated
I know exactly how to approach this project right now,Confident
I feel ready for the presentation tomorrow,Confident
How does this relate to what we learned last week again,Curious
I wonder how this concept applies to real projects,Curious
I wonder how this concept applies to real projects again,Curious
This assignment is taking forever and nothing works today,Frustrated
"Wait, how did we get this answer, I'm lost during class",Confused
"I can't focus on this presentation, it's dragging on again",Bored
I can't believe I have three assignments due tomorrow,Frustrated
"This makes total sense, I can explain it to others right now",Confident
Why does this keep failing no matter what I try honestly,Frustrated
Nothing about this group project is going smoothly right now,Frustrated
This assignment instructions are so unclear during class,Confused
I wonder how this concept applies to real projects again,Curious
I'm confident I answered all the quiz questions correctly today,Confident
Nothing about this topic holds my attention today during class,Bored
"That's interesting, can we go deeper into this topic again",Curious
I don't understand this formula at all again,Confused
I want to know more about how this algorithm works again,Curious
I'm sure I'll do well on this exam right now,Confident
I've got this assignment figured out completely today,Confident
"This makes total sense, I can explain it to others honestly",Confident
I'm just waiting for this class to end already seriously,Bored
"Wait, how did we get this answer, I'm lost during class",Confused
"Wait, how did we get this answer, I'm lost today",Confused
This textbook chapter is putting me to sleep today,Bored
This homework is repetitive and uninteresting today,Bored
This professor's instructions never make sense right now,Frustrated
"This lecture is so slow, I already know all of this honestly",Bored
I solved the whole problem set without help again,Confident
I keep getting a different answer than the textbook right now,Confused
Nothing about this topic holds my attention today right now,Bored
"Can you explain that step again, it doesn't make sense seriously",Confused
This homework is repetitive and uninteresting again,Bored
This assignment is taking forever and nothing works today,Frustrated
I'm just waiting for this class to end already today,Bored
I have no idea what the professor just said right now,Confused
"Same review material again, I've heard this five times seriously",Bored
I've got this assignment figured out completely again,Confident
I'd like to explore this idea further after class during class,Curious
"I'm so annoyed, the code keeps throwing the same error honestly",Frustrated
"Same review material again, I've heard this five times",Bored
I've tried this problem five times and still can't solve it right now,Frustrated
I wonder how this concept applies to real projects right now,Curious
I'm sick of redoing this same section over and over right now,Frustrated
"That's interesting, can we go deeper into this topic honestly",Curious
"This lecture is so slow, I already know all of this honestly",Bored
I'd like to explore this idea further after class today,Curious
I want to know more about how this algorithm works honestly,Curious
I have no idea what the professor just said during class,Confused
I wonder how this concept applies to real projects right now,Curious
I've got this assignment figured out completely during class,Confident
I'm just waiting for this class to end already right now,Bored
"I can't focus on this presentation, it's dragging on right now",Bored
I feel ready for the presentation tomorrow seriously,Confident
"I'm so annoyed, the code keeps throwing the same error honestly",Frustrated
This professor's instructions never make sense seriously,Frustrated
"I keep zoning out during this class, nothing is new again",Bored
I'd like to explore this idea further after class during class,Curious
This homework is repetitive and uninteresting right now,Bored
I'm sick of redoing this same section over and over honestly,Frustrated
What would happen if we applied this to a different problem during class,Curious
None of this is making sense to me right now seriously,Confused
I'm stuck on this problem and don't know where to start right now,Confused
I solved the whole problem set without help again,Confident
None of this is making sense to me right now honestly,Confused
"Can you explain that step again, it doesn't make sense right now",Confused
This professor's instructions never make sense today,Frustrated
This homework is repetitive and uninteresting again,Bored
I know exactly how to approach this project during class,Confident
I feel ready for the presentation tomorrow honestly,Confident
I understand this topic really well now,Confident
This assignment is taking forever and nothing works right now,Frustrated
I'm just waiting for this class to end already,Bored
This assignment instructions are so unclear right now,Confused
I've tried this problem five times and still can't solve it seriously,Frustrated
"Can you explain that step again, it doesn't make sense seriously",Confused
This homework is repetitive and uninteresting honestly,Bored
Nothing about this group project is going smoothly right now,Frustrated
"Wait, why does this formula work like that right now",Curious
I understand this topic really well now again,Confident
I'm confident I answered all the quiz questions correctly seriously,Confident
"That's interesting, can we go deeper into this topic today",Curious
I'm sure I'll do well on this exam,Confident
I want to know more about how this algorithm works honestly,Curious
"Can you explain that step again, it doesn't make sense honestly",Confused
I feel ready for the presentation tomorrow honestly,Confident
"I keep zoning out during this class, nothing is new seriously",Bored
I understand this topic really well now,Confident
I keep getting a different answer than the textbook during class,Confused
I can't believe I have three assignments due tomorrow right now,Frustrated
I'm just waiting for this class to end already,Bored
I'm confident I answered all the quiz questions correctly during class,Confident
"This lecture is so slow, I already know all of this today",Bored
"I'm so annoyed, the code keeps throwing the same error today",Frustrated
This assignment instructions are so unclear today,Confused
I solved the whole problem set without help during class,Confident
"This lecture is so slow, I already know all of this again",Bored
"This makes total sense, I can explain it to others during class",Confident
"Same review material again, I've heard this five times right now",Bored
I understand this topic really well now during class,Confident
This textbook chapter is putting me to sleep during class,Bored
Why does this keep failing no matter what I try,Frustrated
"Same review material again, I've heard this five times honestly",Bored
I'm just waiting for this class to end already during class,Bored
"This makes total sense, I can explain it to others again",Confident
Nothing about this topic holds my attention today seriously,Bored
I'm stuck on this problem and don't know where to start,Confused
I wonder how this concept applies to real projects right now,Curious
"I keep zoning out during this class, nothing is new today",Bored
"This lecture is so slow, I already know all of this again",Bored
I have no idea what the professor just said again,Confused
"I keep zoning out during this class, nothing is new during class",Bored
"Wait, how did we get this answer, I'm lost honestly",Confused
This professor's instructions never make sense today,Frustrated
"This lecture is so slow, I already know all of this seriously",Bored
"This is fascinating, what happens if we change this variable during class",Curious
I don't understand this formula at all right now,Confused
Nothing about this group project is going smoothly seriously,Frustrated
"This lecture is so slow, I already know all of this honestly",Bored
"Same review material again, I've heard this five times right now",Bored
I want to know more about how this algorithm works again,Curious
I'm sure I'll do well on this exam again,Confident
I can't believe I have three assignments due tomorrow honestly,Frustrated
This professor's instructions never make sense honestly,Frustrated
I keep getting a different answer than the textbook,Confused
"This makes total sense, I can explain it to others again",Confident
This textbook chapter is putting me to sleep again,Bored
I'm just waiting for this class to end already seriously,Bored
"I keep zoning out during this class, nothing is new seriously",Bored
"Wait, how did we get this answer, I'm lost today",Confused
I wonder how this concept applies to real projects right now,Curious
I have no idea what the professor just said again,Confused
I wonder how this concept applies to real projects today,Curious
None of this is making sense to me right now right now,Confused
I've got this assignment figured out completely today,Confident
I've got this assignment figured out completely right now,Confident
I know exactly how to approach this project seriously,Confident
How does this relate to what we learned last week today,Curious
I'd like to explore this idea further after class,Curious
I feel ready for the presentation tomorrow honestly,Confident
I have no idea what the professor just said seriously,Confused
This textbook chapter is putting me to sleep,Bored
I'm sick of redoing this same section over and over today,Frustrated
"This makes total sense, I can explain it to others right now",Confident
"I can't focus on this presentation, it's dragging on seriously",Bored
I want to know more about how this algorithm works,Curious
I've tried this problem five times and still can't solve it seriously,Frustrated
"I can't focus on this presentation, it's dragging on again",Bored
This homework is repetitive and uninteresting seriously,Bored
"This lecture is so slow, I already know all of this again",Bored
"Same review material again, I've heard this five times honestly",Bored
None of this is making sense to me right now again,Confused
I wonder how this concept applies to real projects seriously,Curious
"This is fascinating, what happens if we change this variable seriously",Curious
I know exactly how to approach this project honestly,Confident
"Wait, why does this formula work like that again",Curious
I keep getting a different answer than the textbook today,Confused
Why does this keep failing no matter what I try today,Frustrated
I have no idea what the professor just said honestly,Confused
"This makes total sense, I can explain it to others today",Confident
I'm sure I'll do well on this exam during class,Confident
I don't understand this formula at all right now,Confused
What would happen if we applied this to a different problem,Curious
I'm stuck on this problem and don't know where to start seriously,Confused
Nothing about this group project is going smoothly seriously,Frustrated
I've got this assignment figured out completely seriously,Confident
I want to know more about how this algorithm works today,Curious
This homework is repetitive and uninteresting again,Bored
I feel ready for the presentation tomorrow right now,Confident
I'd like to explore this idea further after class honestly,Curious
I want to know more about how this algorithm works right now,Curious
This textbook chapter is putting me to sleep honestly,Bored
"I can't focus on this presentation, it's dragging on",Bored
"Same review material again, I've heard this five times during class",Bored
I've got this assignment figured out completely honestly,Confident
I'm sick of redoing this same section over and over again,Frustrated
I feel ready for the presentation tomorrow during class,Confident
What would happen if we applied this to a different problem during class,Curious
This assignment is taking forever and nothing works again,Frustrated
"This makes total sense, I can explain it to others today",Confident
This professor's instructions never make sense during class,Frustrated
I've got this assignment figured out completely today,Confident
"This makes total sense, I can explain it to others during class",Confident
I can't believe I have three assignments due tomorrow during class,Frustrated
I keep getting a different answer than the textbook honestly,Confused
I've tried this problem five times and still can't solve it today,Frustrated
I'm sick of redoing this same section over and over,Frustrated
I know exactly how to approach this project again,Confident
This assignment instructions are so unclear seriously,Confused
What would happen if we applied this to a different problem seriously,Curious
None of this is making sense to me right now right now,Confused
"I keep zoning out during this class, nothing is new again",Bored
"That's interesting, can we go deeper into this topic again",Curious
How does this relate to what we learned last week seriously,Curious
I understand this topic really well now right now,Confident
I understand this topic really well now during class,Confident
I'm sick of redoing this same section over and over,Frustrated
"I keep zoning out during this class, nothing is new honestly",Bored
What would happen if we applied this to a different problem again,Curious
I'm sick of redoing this same section over and over today,Frustrated
"I'm so annoyed, the code keeps throwing the same error seriously",Frustrated
This assignment is taking forever and nothing works today,Frustrated
"This lecture is so slow, I already know all of this during class",Bored
I wonder how this concept applies to real projects right now,Curious
"Wait, how did we get this answer, I'm lost right now",Confused
Nothing about this group project is going smoothly right now,Frustrated
I wonder how this concept applies to real projects during class,Curious
"Wait, how did we get this answer, I'm lost honestly",Confused
This textbook chapter is putting me to sleep today,Bored
This professor's instructions never make sense during class,Frustrated
Nothing about this topic holds my attention today today,Bored
"This lecture is so slow, I already know all of this honestly",Bored
This homework is repetitive and uninteresting,Bored
I'm sure I'll do well on this exam again,Confident
"This lecture is so slow, I already know all of this right now",Bored
"This is fascinating, what happens if we change this variable again",Curious
Why does this keep failing no matter what I try honestly,Frustrated
I've got this assignment figured out completely seriously,Confident
"Same review material again, I've heard this five times honestly",Bored
I wonder how this concept applies to real projects right now,Curious
I'm sure I'll do well on this exam seriously,Confident
This textbook chapter is putting me to sleep right now,Bored
I'd like to explore this idea further after class seriously,Curious
I'm sick of redoing this same section over and over today,Frustrated
"Can you explain that step again, it doesn't make sense seriously",Confused
Nothing about this topic holds my attention today honestly,Bored
"I'm so annoyed, the code keeps throwing the same error seriously",Frustrated
"I keep zoning out during this class, nothing is new again",Bored
I feel ready for the presentation tomorrow honestly,Confident
I understand this topic really well now today,Confident
"This makes total sense, I can explain it to others right now",Confident
"I keep zoning out during this class, nothing is new today",Bored
"This makes total sense, I can explain it to others honestly",Confident
Nothing about this group project is going smoothly today,Frustrated
I have no idea what the professor just said seriously,Confused
How does this relate to what we learned last week today,Curious
I understand this topic really well now seriously,Confident
"Wait, why does this formula work like that today",Curious
I have no idea what the professor just said honestly,Confused
What would happen if we applied this to a different problem honestly,Curious
I want to know more about how this algorithm works today,Curious
"I'm so annoyed, the code keeps throwing the same error honestly",Frustrated
"I'm so annoyed, the code keeps throwing the same error right now",Frustrated
This textbook chapter is putting me to sleep,Bored
I can't believe I have three assignments due tomorrow,Frustrated
"Wait, why does this formula work like that",Curious
"I can't focus on this presentation, it's dragging on honestly",Bored
I feel ready for the presentation tomorrow again,Confident
I've tried this problem five times and still can't solve it seriously,Frustrated
"I'm so annoyed, the code keeps throwing the same error today",Frustrated
I understand this topic really well now again,Confident
I wonder how this concept applies to real projects during class,Curious
I've tried this problem five times and still can't solve it seriously,Frustrated
"I can't focus on this presentation, it's dragging on during class",Bored
Nothing about this topic holds my attention today today,Bored
I have no idea what the professor just said,Confused
I'm sure I'll do well on this exam today,Confident
I'm sure I'll do well on this exam honestly,Confident
I'm confident I answered all the quiz questions correctly again,Confident
I've got this assignment figured out completely during class,Confident
"This makes total sense, I can explain it to others right now",Confident
This homework is repetitive and uninteresting seriously,Bored
I understand this topic really well now today,Confident
"Wait, how did we get this answer, I'm lost during class",Confused
Nothing about this group project is going smoothly,Frustrated
I've got this assignment figured out completely today,Confident
I solved the whole problem set without help right now,Confident
None of this is making sense to me right now honestly,Confused
"That's interesting, can we go deeper into this topic",Curious
"This makes total sense, I can explain it to others today",Confident
I feel ready for the presentation tomorrow during class,Confident
I have no idea what the professor just said again,Confused
I've got this assignment figured out completely,Confident
I feel ready for the presentation tomorrow today,Confident
"Wait, why does this formula work like that today",Curious
This assignment instructions are so unclear again,Confused
I want to know more about how this algorithm works honestly,Curious
"Can you explain that step again, it doesn't make sense",Confused
I'm sure I'll do well on this exam seriously,Confident
I've tried this problem five times and still can't solve it again,Frustrated
I'm confident I answered all the quiz questions correctly,Confident
I've tried this problem five times and still can't solve it right now,Frustrated
None of this is making sense to me right now during class,Confused
This professor's instructions never make sense,Frustrated
I'd like to explore this idea further after class right now,Curious
I have no idea what the professor just said honestly,Confused
None of this is making sense to me right now during class,Confused
I solved the whole problem set without help,Confident
I've got this assignment figured out completely,Confident
I wonder how this concept applies to real projects,Curious
I'm stuck on this problem and don't know where to start today,Confused
This professor's instructions never make sense today,Frustrated
I want to know more about how this algorithm works seriously,Curious
This homework is repetitive and uninteresting again,Bored
Nothing about this topic holds my attention today honestly,Bored
I've tried this problem five times and still can't solve it during class,Frustrated
How does this relate to what we learned last week again,Curious
I've got this assignment figured out completely,Confident
Nothing about this topic holds my attention today during class,Bored
How does this relate to what we learned last week seriously,Curious
I know exactly how to approach this project during class,Confident
None of this is making sense to me right now today,Confused
This assignment instructions are so unclear during class,Confused
I want to know more about how this algorithm works,Curious
I'm sure I'll do well on this exam,Confident
What would happen if we applied this to a different problem right now,Curious
I'm stuck on this problem and don't know where to start during class,Confused
I want to know more about how this algorithm works,Curious
"Wait, why does this formula work like that honestly",Curious
I have no idea what the professor just said honestly,Confused
"This makes total sense, I can explain it to others",Confident
I'm sick of redoing this same section over and over during class,Frustrated
Nothing about this topic holds my attention today,Bored
This assignment instructions are so unclear right now,Confused
This homework is repetitive and uninteresting,Bored
I'm sick of redoing this same section over and over,Frustrated
Why does this keep failing no matter what I try,Frustrated
I have no idea what the professor just said today,Confused
"I keep zoning out during this class, nothing is new during class",Bored
I want to know more about how this algorithm works seriously,Curious
I solved the whole problem set without help honestly,Confident
I feel ready for the presentation tomorrow again,Confident
I have no idea what the professor just said right now,Confused
I'm sure I'll do well on this exam honestly,Confident
I solved the whole problem set without help today,Confident
None of this is making sense to me right now honestly,Confused
I've tried this problem five times and still can't solve it during class,Frustrated
I'm sure I'll do well on this exam during class,Confident
What would happen if we applied this to a different problem during class,Curious
I'd like to explore this idea further after class,Curious
This professor's instructions never make sense during class,Frustrated
"I keep zoning out during this class, nothing is new today",Bored
"Same review material again, I've heard this five times honestly",Bored
I solved the whole problem set without help,Confident
Nothing about this topic holds my attention today right now,Bored
"Wait, why does this formula work like that today",Curious
Nothing about this topic holds my attention today honestly,Bored
I'd like to explore this idea further after class seriously,Curious
"Wait, how did we get this answer, I'm lost again",Confused
I wonder how this concept applies to real projects right now,Curious
"I keep zoning out during this class, nothing is new during class",Bored
"I can't focus on this presentation, it's dragging on seriously",Bored
Why does this keep failing no matter what I try right now,Frustrated
"This makes total sense, I can explain it to others honestly",Confident
Nothing about this topic holds my attention today seriously,Bored
"This makes total sense, I can explain it to others again",Confident
"This lecture is so slow, I already know all of this again",Bored
"That's interesting, can we go deeper into this topic",Curious
I don't understand this formula at all again,Confused
This assignment instructions are so unclear honestly,Confused
I've got this assignment figured out completely,Confident
"Wait, how did we get this answer, I'm lost right now",Confused
"Wait, why does this formula work like that honestly",Curious
This textbook chapter is putting me to sleep honestly,Bored
Nothing about this topic holds my attention today during class,Bored
I'm stuck on this problem and don't know where to start again,Confused
I have no idea what the professor just said during class,Confused
I'm confident I answered all the quiz questions correctly today,Confident
I've tried this problem five times and still can't solve it seriously,Frustrated
Nothing about this topic holds my attention today again,Bored
"That's interesting, can we go deeper into this topic",Curious
"Wait, why does this formula work like that again",Curious
What would happen if we applied this to a different problem right now,Curious
I'm just waiting for this class to end already again,Bored
"Same review material again, I've heard this five times during class",Bored
What would happen if we applied this to a different problem today,Curious
"Wait, how did we get this answer, I'm lost seriously",Confused
"This is fascinating, what happens if we change this variable honestly",Curious
"I keep zoning out during this class, nothing is new today",Bored
This assignment instructions are so unclear honestly,Confused
"Same review material again, I've heard this five times again",Bored
"Wait, how did we get this answer, I'm lost",Confused
This assignment instructions are so unclear during class,Confused
I solved the whole problem set without help,Confident
I solved the whole problem set without help during class,Confident
"This lecture is so slow, I already know all of this seriously",Bored
"I can't focus on this presentation, it's dragging on right now",Bored
This assignment instructions are so unclear seriously,Confused
I can't believe I have three assignments due tomorrow,Frustrated
"That's interesting, can we go deeper into this topic again",Curious
"This lecture is so slow, I already know all of this during class",Bored
"This is fascinating, what happens if we change this variable right now",Curious
This homework is repetitive and uninteresting seriously,Bored
I'd like to explore this idea further after class today,Curious
"Can you explain that step again, it doesn't make sense again",Confused
I'm stuck on this problem and don't know where to start again,Confused
I'm stuck on this problem and don't know where to start honestly,Confused
"I keep zoning out during this class, nothing is new honestly",Bored
I'm sick of redoing this same section over and over during class,Frustrated
"That's interesting, can we go deeper into this topic during class",Curious
I know exactly how to approach this project again,Confident
This assignment instructions are so unclear,Confused
I know exactly how to approach this project again,Confident
How does this relate to what we learned last week again,Curious
I'm stuck on this problem and don't know where to start right now,Confused
I'm confident I answered all the quiz questions correctly again,Confident
I solved the whole problem set without help honestly,Confident
I understand this topic really well now right now,Confident
I have no idea what the professor just said,Confused
I wonder how this concept applies to real projects seriously,Curious
This assignment is taking forever and nothing works right now,Frustrated
This assignment is taking forever and nothing works today,Frustrated
"This is fascinating, what happens if we change this variable seriously",Curious
This professor's instructions never make sense honestly,Frustrated
I solved the whole problem set without help during class,Confident
"Wait, how did we get this answer, I'm lost during class",Confused
This textbook chapter is putting me to sleep seriously,Bored
I have no idea what the professor just said today,Confused
Nothing about this group project is going smoothly again,Frustrated
This professor's instructions never make sense honestly,Frustrated
"This makes total sense, I can explain it to others today",Confident
I'm just waiting for this class to end already during class,Bored
I understand this topic really well now honestly,Confident
This textbook chapter is putting me to sleep,Bored
Why does this keep failing no matter what I try again,Frustrated
I feel ready for the presentation tomorrow today,Confident
This assignment instructions are so unclear again,Confused
"Can you explain that step again, it doesn't make sense seriously",Confused
I've got this assignment figured out completely again,Confident
"This makes total sense, I can explain it to others right now",Confident
I don't understand this formula at all today,Confused
Why does this keep failing no matter what I try,Frustrated
Nothing about this group project is going smoothly today,Frustrated
I wonder how this concept applies to real projects seriously,Curious
This assignment instructions are so unclear again,Confused
I'm sure I'll do well on this exam again,Confident
This textbook chapter is putting me to sleep seriously,Bored
